Song,Artist,Genre
DAISIES,Justin Bieber,Pop
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",K-Pop
Ordinary,Alex Warren,Pop
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",K-Pop
undressed,sombr,Rock
No Broke Boys,"Disco Lines, Tinashe",R&B
back to friends,sombr,Indie pop
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",K-Pop
How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",K-Pop
Eternity,Alex Warren,Pop
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",K-Pop
The Subway,Chappell Roan,Pop
Man I Need,Olivia Dean,R&B
Tears,Sabrina Carpenter,Pop
Manchild,Sabrina Carpenter,Pop
12 to 12,sombr,Disco
TAKEDOWN,twice,K-Pop
APT.,ROSÉ & Bruno Mars,Pop
Free,Rumi & Jinu & EJAE & Andrew Choi & KPop Demon Hunters Cast,K-Pop
O SOM DA NOSSA VOZ,HUNTR/X & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,K-Pop
Takedown,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,K-Pop
Beautiful Things,Benson Boone,Pop rock
Lose Control (Live),Teddy Swims,Soul
Sapphire,Ed Sheeran,Pop
Saiyaara,Faheem Abdullah,Bollywood
Die With A Smile,Lady Gaga & Bruno Mars,Soul
